Company,Rating(5),Review_count,Domain,Location,No. of Employees,Years old
TCS,3.9,44300,Public,"Mumbai,Maharashtra + 258 more",1 Lakh+ Employees (India),54
Accenture,4.2,30100,Public,Dublin + 140 more,1 Lakh+ Employees (India),33
Cognizant,4.0,27100,Private,Teaneck. New Jersey. + 89 more,1 Lakh+ Employees (India),28
ICICI Bank,4.0,32700,Public,"Mumbai,Maharashtra + 1025 more",1 Lakh+ Employees (India),28
HDFC Bank,4.0,36700,Public,"Mumbai,Maharashtra + 1170 more",1 Lakh+ Employees (India),28
Infosys,4.0,25900,Public,"Bengaluru/Bangalore,Karnataka + 121 more",1 Lakh+ Employees (India),41
Wipro,3.9,26000,Public,"Bangalore/Bengaluru,Karnataka + 223 more",1 Lakh+ Employees (India),77
Capgemini,3.9,22000,Public,Paris + 75 more,1 Lakh+ Employees (India),55
Tech Mahindra,3.8,20000,Public,"Pune,Maharashtra + 202 more",50k-1 Lakh Employees (India),36
Genpact,4.0,19700,Public,"New York,New York + 62 more",50k-1 Lakh Employees (India),25
HCL Technologies,3.9,16600,Public,"Noida,Uttar Pradesh + 135 more",1 Lakh+ Employees (India),31
Axis Bank,3.9,17800,Public,"Mumbai,Maharashtra + 1028 more",1 Lakh+ Employees (India),29
Amazon,4.2,15900,Public,"Seattle,Washington + 339 more",1 Lakh+ Employees (India),28
IBM,4.2,19600,Public,"Armonk,New York + 116 more",1 Lakh+ Employees (India),111
Concentrix Corpo...,4.1,14400,Public,"Fremont,California + 66 more",10k-50k Employees (India),39
Larsen & Toubro ...,4.1,23300,Public,"Mumbai,Maharashtra + 517 more",10k-50k Employees (India),84
Reliance jio,4.0,13800,Public,"Navi Mumbai,Maharashtra + 933 more",50k-1 Lakh Employees (India),15
Vodafone Idea,4.3,13400,Public,"Gandhinagar,Gujrat + 557 more",10k-50k Employees (India),4
HDB Financial Se...,4.0,12500,Private,"Ahmedabad,Gujrat + 741 more",1 Lakh+ Employees (India),15
Teleperformance,3.6,13400,Private,Paris + 117 more,50k-1 Lakh Employees (India),44
Kotak Mahindra B...,3.9,12900,Public,"Mumbai,Maharashtra + 464 more",50k-1 Lakh Employees (India),19
Bharti Airtel,4.1,11000,Public,"Gurgaon/Gurugram,Haryana + 481 more",10k-50k Employees (India),27
Reliance Industr...,4.1,39500,Public,"Navi Mumbai,Maharashtra + 447 more",1 Lakh+ Employees (India),49
Deloitte,4.1,9600,Private,"New York,New York + 131 more",50k-1 Lakh Employees (India),177
Tata Motors,4.0,11300,Public,"Pune,Maharashtra + 381 more",10k-50k Employees (India),77
Reliance Retail,4.1,13700,Private,"Navi Mumbai,Maharashtra + 566 more",1 Lakh+ Employees (India),16
Mahindra & Mahin...,4.2,7400,Public,"Mumbai,Maharashtra + 396 more",1 Lakh+ Employees (India),77
WNS,3.7,6500,Private,"Mumbai,Maharashtra + 21 more",10k-50k Employees (India),26
IndusInd Bank,3.8,6500,Public,"Gurgaon/Gurugram,Haryana + 542 more",10k-50k Employees (India),28
Flipkart,4.2,10100,Public,"Bangalore,Karnataka + 408 more",50k-1 Lakh Employees (India),15
DXC Technology,3.9,6800,Public,"Minato,Tokyo + 55 more",10k-50k Employees (India),5
Hinduja Global S...,4.0,5900,Public,"Bangalore/Bengaluru,Karnataka + 74 more",10k-50k Employees (India),22
Ernst & Young,3.9,7000,Private,London + 70 more,50k-1 Lakh Employees (India),20
Maruti Suzuki,4.1,5600,Public,"New Delhi,Delhi + 372 more",10k-50k Employees (India),39
Infosys BPM,4.0,5500,unknown,"Bangalore/Bengaluru,Karnataka + 45 more",10k-50k Employees (India),20
BYJU'S,3.6,9700,Private,"Bangalore,Karnataka + 161 more",1k-5k Employees (India),11
HSBC,4.1,5600,Private,"Pune,Maharashtra + 53 more",10k-50k Employees (India),20
Ericsson,4.3,5200,Private,"Stockholm,Stockholm County + 129 more",10k-50k Employees (India),146
Bajaj Finserv,4.1,12600,Public,"Pune,Maharashtra + 636 more",10k-50k Employees (India),15
Conneqt Business...,3.8,4800,Private,"Mumbai,Maharashtra + 151 more",10k-50k Employees (India),20
IDFC FIRST Bank,4.0,4800,Public,"Mumbai,Maharashtra + 360 more",10k-50k Employees (India),4
Dr. Reddy's,4.2,4800,Public,"Hyderabad/Secunderabad,Telangana + 128 more",10k-50k Employees (India),36
Startek,3.5,4600,Public,"Mumbai,Maharashtra + 50 more",5k-10k Employees (India),5
Mphasis,3.8,4500,Public,"Bangalore/Bengaluru,Karnataka + 41 more",10k-50k Employees (India),24
Sutherland Globa...,3.9,4900,Private,"Pittsford,New York + 41 more",10k-50k Employees (India),36
